ORF	t2A	t3A	t4A	t5A	t6A	t7A	t8A	t2B	t3B	t4B	t5B	t6B	t7B	t8B	t2C	t3C	t4C	t5C	t6C	t7C	t8C
Ga0196617_100004112	24.6614011117464	25.6733704085787	25.6934213430128	25.9638742263275	25.7491494210294	24.8995381255183	25.5435830319365	25.0921571904273	25.9475915288107	24.9526978587978	25.3935666852087	25.274451697003	25.0146367244656	24.7298148676996	24.8723772080482	25.7304680097653	25.0864186353293	25.946142414571	25.3291042345309	24.9570874249919	25.034175157579
Ga0196617_100004113	24.7318997670652	26.3468914084004	25.7749959594374	24.1706356717551	24.4495734191871	24.0162476333569	22.8753953989628	25.1714132636957	26.0625086470336	24.767447328853	23.9004050779257	23.7750159137261	24.2657600490561	23.9265851645478	25.0238380685206	24.2422687998211	25.966344697111	23.6136639403626	24.7099057350721	24.1410038412065	23.7778498902641
Ga0196617_100004128	23.5430688914602	23.9832182707018	23.253152396165	22.7184665942842	23.7641513651297	23.5525310870607	22.8372846694779	23.3796900645437	23.8318655329961	22.7844330850899	24.4784080486369	23.4668043166844	22.3916528460761	24.2229083551384	23.5973554158794	23.2343861393352	22.8183020386099	24.4961507719879	22.9216315126962	22.9720919665684	24.2803824089616
Ga0196617_100004134	23.0222779613103	24.7791052416638	24.9239625832908	24.6404076607561	24.8032295369301	24.542574854611	24.7564700503488	23.248251562326	24.9976379626788	24.0477163254104	25.2515028562722	24.3661932140069	25.1435497917169	24.7291297793674	23.6480652512038	24.4816766194857	24.9959119500172	24.7569523860885	24.7396343118819	24.843062323164	25.2864866058307
Ga0196617_100004135	25.1901762588417	25.9973870373822	26.6667055712235	26.5462862631642	26.1886230110611	26.362157812152	26.3649240503021	25.9216432823179	25.8427797844208	25.6541336407133	27.0142684017336	26.6055568811646	25.782856955139	26.3823111311187	25.551771588167	25.3351185295024	26.7180454660136	26.3744695919536	25.9838214611303	26.0725073836455	26.6311747520944
Ga0196617_100004136	24.2547700338742	24.8868607743246	25.4373531553535	25.5633199615044	25.5179248916584	25.5846253709662	25.5797551699303	24.2828945177112	25.1551509320174	25.4645103341241	25.7779574806622	25.5428992483286	26.1299818163061	25.9938983122372	24.4161714502117	24.9418986467804	25.7564532087004	25.4801259863695	25.8997805198396	25.8573035936362	25.4317050279554
Ga0196617_100004150	23.7014963155618	27.0248140086472	26.5457567397232	27.8692271949113	27.4478341703767	26.4935488028451	27.3556830903476	25.309467360061	27.1526397944244	26.9170845607265	28.1252250940631	26.6973314414044	26.0078449649933	26.698971936481	25.0666261123793	27.0467141152794	27.5001883472995	27.8240487371593	26.4737227243094	26.2506968839192	27.6886183500432
Ga0196617_100004154	23.2597467476738	24.1836411903675	25.2040988050647	24.8104837297947	24.8712835302287	24.3785112391591	24.3749691563852	23.4262762930224	24.4177978873272	24.7535771027588	25.0235196721401	24.878062997781	24.9235494783519	24.7151329675263	23.6314504864667	24.1606030771281	25.4351058524148	24.8857497149142	24.9292138857599	24.6510303587555	24.7940869163002
Ga0196617_100004155	20.9451172259196	22.1300352457453	22.5066591407475	22.3434871246812	23.3080525222621	22.2213428217303	22.5796181687021	22.439712636299	22.3615951477947	21.6099093217881	22.2635384085274	22.0335623224816	21.9610820864586	23.0962721827004	21.0953085273598	21.9527611552432	22.4417445598245	22.0099990689118	22.2964259664354	22.0912124540944	22.5590661068394
Ga0196617_100004156	24.1361295404465	24.5764306779757	24.7456205616114	24.7623002003574	24.4804146080904	24.4708513946476	24.5720645264226	24.5268921326616	24.9055647215312	24.1273833168141	25.0469773250827	24.5580533471242	22.7332131861818	24.8889771940375	24.597551488615	24.3653837168665	25.1118685159294	24.7522658601584	24.3160694484451	23.6020322904147	24.8010546852847
Ga0196617_100004164	23.3948104135218	24.7369321563901	24.6237844316525	25.2231602288482	25.1040238985044	24.7595039784242	24.7504792270932	24.096012262265	24.6092745703089	24.4822720334503	24.8982183311764	24.3667077392964	24.5187101847087	25.3082058708275	23.5152124393276	24.2455754835644	25.2024536346908	23.8330796697459	24.5664482220027	24.6391070815665	25.1254783950845
Ga0196617_100004167	23.4167366023687	24.6236770750478	24.4740727347997	24.3266660546943	24.1934363042873	23.5602225955583	23.9833000489569	23.7719039409146	24.4439442430436	24.0449473534124	24.3563419621456	24.5159304628532	24.3214246118439	24.0568506851841	23.5739178127035	24.0545585011094	24.8895167489771	24.0948365180802	24.383517918859	23.9408236037011	24.1824442084986
Ga0196617_100004168	24.8186702032199	26.0747397094996	26.528673118617	26.1497191388124	26.3735615228722	26.1151177389726	26.54448018415	25.4502451293834	25.3923425255564	25.7300106720037	26.0463870073938	26.3869006545313	26.0291679320096	26.0187974957274	24.5647105679701	25.8897420663512	26.4317796345796	25.4175161425865	25.8525026088069	26.0721428354911	26.4492302810595
