t1A	t1B	t1C	t2A	t2B	t2C	t3A	t3B	t3C	t4A	t4B	t4C	t5A	t5B	t5C	t6A	t6B	t6C	t7A	t7B	t7C	t8A	t8B	t8C	Unique_peptides
Ga0196617_1003205;Ga0187564_101158;Ga0187557_1001173;Ga0196617_1020461	2.5978E+08	3.939E+08	7.9579E+08	5.8499E+07	6.8453E+07	1.053E+08	5.8094E+07	3.1002E+07	1.482E+07	5.0908E+07	2.3026E+07	4.2603E+07	2.0751E+07	3.8202E+07	1.8829E+07	3.5471E+07	2.4018E+07	7726100	3.2035E+07	1.3505E+07	5.8233E+07	2.7283E+07	2.0408E+07	2.1819E+07	11
Ga0187564_101159;Ga0187557_1001174;Ga0196617_1003206;Ga0196617_1020462;Ga0196617_1006601;Ga0196617_1073181	6.3179E+07	8.4162E+07	9.8918E+07	3.1989E+07	2.4977E+07	4.7879E+07	1.5889E+07	1.6325E+07	7464000	1.3931E+07	9391300	1.2699E+07	7916900	4119400	4609900	8271900	7147800	8149500	7724000	7937800	1.4741E+07	7820400	8490300	2184700	22
Ga0187564_101160;Ga0187557_1001175	990350	3009100	6814900	920050	2187700	2442200	0	0	1079100	847090	779700	697960	0	0	0	524940	0	0	965460	0	677920	0	0	0	3
Ga0187564_101163;Ga0187557_1001178;Ga0196617_1034991;Ga0196617_1086771;Ga0196617_1098351;Ga0196617_1064571	0	0	0	0	0	0	0	0	586560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ga0196617_10032012;Ga0187564_101165;Ga0187557_1001180;Ga0196617_1060761	4027000	4722400	3123600	1319800	965220	1535500	2398300	2300700	1788300	4579200	1.1574E+07	9940500	1.0341E+07	6027300	7059000	9210000	5603800	7671000	1.6244E+07	9733700	1.5404E+07	1.3213E+07	2.0563E+07	1.102E+07	12
Ga0187564_101166;Ga0187557_1001181;Ga0196617_10032013;Ga0196617_1024662;Ga0196617_1023922;Ga0196617_1077941	2461400	3514900	6023300	1288600	774100	2908200	304770	2741700	2533600	1792600	4740200	3417500	2525500	0	986450	3961600	1922400	4233000	2748600	2770500	3051200	1266900	1746800	2595000	8
Ga0187557_1001184;Ga0196617_1043631;Ga0196617_1033431;Ga0196617_1056751;Ga0196617_1085401;Ga0196617_1049561;Ga0196617_1070911;Ga0196617_1024001;Ga0196617_1057852;Ga0196617_1023441	5.0615E+07	1.0205E+08	1.2566E+08	8.0462E+07	5.1067E+07	9.4805E+07	6.7122E+07	5.9716E+07	6.4587E+07	3.5404E+07	3.7001E+07	3.2928E+07	2.5009E+07	1.5055E+07	2.617E+07	3.4671E+07	2.0192E+07	3.3834E+07	3.0995E+07	2.71E+07	4.0014E+07	2.4371E+07	2.7719E+07	2.0916E+07	2
Ga0187557_1001185;Ga0187564_101171;Ga0196617_1013692;Ga0196617_1048672;Ga0196617_1003258;Ga0196617_1057851;Ga0196617_1025791	3.0513E+07	9.309E+07	1.1331E+08	7.7833E+07	4.9917E+07	8.6444E+07	7.03E+07	6.4359E+07	5.7821E+07	4.8885E+07	4.3213E+07	2.577E+07	3.825E+07	1.8183E+07	3.4717E+07	2.7254E+07	1.6332E+07	3.2258E+07	3.1084E+07	2.2492E+07	3.2564E+07	3.1257E+07	4.5398E+07	2.7164E+07	3
Ga0187564_101172;Ga0187557_1001186;Ga0196617_1042522	0	0	1.4764E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ga0187564_101174;Ga0187557_1001188;Ga0196617_1036151;Ga0196617_1075931;Ga0196617_1003251;Ga0196617_1068511;Ga0196617_1099161;Ga0196617_1042371;Ga0196617_1023481	3827300	3597400	1683300	2075400	1880900	5734300	869860	1236000	1716900	0	1444700	1352400	0	852830	0	1071900	979130	1333800	970040	0	1498700	889450	793450	1056100	1
Ga0196617_1001426;Ga0187564_1014;Ga0187557_100119;Ga0196617_1010814;Ga0196617_1001429;Ga0187564_1011;Ga0196617_1058951;Ga0196617_1163981;Ga0196617_1007361	3.0339E+08	2.5011E+08	2.7322E+08	9.7851E+07	1.0346E+08	1.6259E+08	1.6047E+08	1.232E+08	1.0354E+08	5.4445E+07	2.9851E+07	1.0699E+08	1.8688E+08	1.6156E+08	1.1931E+08	1.125E+08	1.0055E+08	9.5353E+07	6.2602E+07	7.2317E+07	5.0979E+07	1.7364E+08	8.1948E+07	1.7992E+08	6
Ga0187564_101177;Ga0187557_1001191;Ga0196617_1053711	2.8638E+07	1.9087E+07	3.1243E+07	1911600	1554500	2022700	788470	800830	288960	0	0	1489500	0	1419000	1164300	2933300	1218500	553940	0	1712200	0	0	0	2179700	2
