ORF,protein,protein_corrected,RNA,protein2RNA,protein2RNA_corrected
IPI00515708.3;IPI00623994.2;IPI00885300.1,11768.11,81477.3,2.33,5050.6909871245,34968.7982832618
IPI00409101.3;IPI00753870.1;IPI00750947.1,11763.8,81460.65,,,
IPI00230591.1;IPI00115506.1;IPI00890007.1;IPI00230593.1;IPI00230590.1;IPI00230592.1;IPI00230589.1;IPI00894854.1,11757.87,81437.74,21.42,548.9201680672,3801.9486461251
IPI00227730.1,11754.44,81424.49,7.17,1639.3919107392,11356.2747559275
IPI00114424.8;IPI00877341.1,11744.7,81386.84,12.12,969.0346534653,6715.0858085809
IPI00938536.1;IPI00117732.3;IPI00117086.2;IPI00230400.1;IPI00849687.1,11729.38,81327.6,26.82,437.3370618941,3032.3489932886
IPI00128336.3;IPI00875418.1;IPI00471298.1;IPI00653642.1,11692.74,81185.78,28.45,410.9926186292,2853.630228471
IPI00312172.5,11669.49,81095.69,11.84,985.5988175676,6849.2981418919
IPI00348910.2;IPI00153773.1;IPI00874476.1;IPI00405940.2,11656.33,81044.66,11.04,1055.8269927536,7341.0018115942
IPI00652358.5;IPI00406459.2;IPI00462991.3,11648.3,81013.51,15.46,753.447606727,5240.201164295
IPI00321005.5;IPI00648213.1;IPI00650044.1,11625.42,80924.7,10.29,1129.778425656,7864.4023323615
IPI00420346.3,11572.41,80718.64,,,
IPI00313968.8;IPI00622916.2;IPI00798593.1;IPI00798528.2;IPI00830495.1;IPI00118605.3;IPI00885786.1,11567.92,80701.17,13.5,856.882962963,5977.8644444445
IPI00331244.4,11540.21,80593.27,6.3,1831.7793650794,12792.5825396825
IPI00323177.2;IPI00648997.2,11532.66,80563.85,6.09,1893.7044334975,13228.8752052545
IPI00622390.2;IPI00762437.1;IPI00856503.1;IPI00858206.1;IPI00856640.1,11505.23,80456.9,23.2,495.9150862069,3467.9698275862
IPI00123474.2,11494.89,80416.56,53.49,214.8979248458,1503.3942793046
IPI00125658.5,11478.54,80352.73,17.12,670.4754672897,4693.5005841122
IPI00676914.1,11466.64,80306.25,,,
IPI00387249.1;IPI00649589.1;IPI00875631.1,11455.26,80261.77,1.03,11121.6116504854,77924.0485436893
IPI00225915.2,11453.87,80256.34,,,
IPI00336318.1,11442.3,80211.11,11.85,965.5949367089,6768.8700421941
IPI00322206.2;IPI00551142.1,11415.18,80105,,,
IPI00453808.4;IPI00857356.1,11403.19,80058.05,5.87,1942.6218057922,13638.5093696763
IPI00553717.6;IPI00420752.7;IPI00134792.1,11398.27,80038.78,6.36,1792.1808176101,12584.713836478
IPI00331230.3;IPI00854004.1;,11394.42,80023.69,10.2,1117.1,7845.4598039216
IPI00890280.1;IPI00408265.3;IPI00828500.1;IPI00817022.1;IPI00750528.1;IPI00757574.1,11388.59,80000.85,9.08,1254.25,8810.6662995595
IPI00133332.3,11364.05,79904.64,11.83,960.6128486898,6754.4074387151
IPI00894922.1;IPI00133917.1;IPI00649369.1;IPI00649888.1;IPI00648019.1;IPI00857563.2;IPI00229686.2;IPI00857303.2;IPI00858215.1,11312.91,79703.85,35.95,314.6845618915,2217.0751043116
IPI00187257.5;IPI00720081.1;IPI00757242.3;IPI00226065.2;IPI00719933.1,11302.87,79664.38,14.18,797.0994358251,5618.0803949224
IPI00453867.3,11288.48,79607.78,27.37,412.4398976982,2908.5780051151
IPI00136186.9;IPI00653301.1,11283.73,79589.09,,,
IPI00321396.1,11283.17,79586.89,23.97,470.7204839383,3320.2707551106
IPI00890268.2;IPI00118120.1;IPI00928350.1;IPI00928007.1;IPI00928395.1;IPI00776414.1;IPI00881560.1;IPI00928331.1;IPI00761673.2;IPI00881474.1,11251.4,79461.8,11.37,989.5690413369,6988.7247141601
IPI00153375.1;IPI00919058.1;IPI00918759.1,11210.77,79301.6,15.58,719.5616174583,5089.9614890886
IPI00125907.3,11185.45,79201.64,9.31,1201.4446831364,8507.1578947369
IPI00126120.1;IPI00876504.1,11182.17,79188.68,3.88,2882.0025773196,20409.4536082474
IPI00387185.2;IPI00918821.1,11165.36,79122.25,10.89,1025.2855831038,7265.5876951332
IPI00119442.1;IPI00673345.1;IPI00881143.1;IPI00880918.1,11152.35,79070.8,21.06,529.5512820513,3754.5489078823
IPI00225244.1,11149.3,79058.74,24.2,460.7148760331,3266.8900826446
IPI00135366.1;IPI00654978.1;IPI00882037.1;IPI00457803.1,11146.87,79049.13,3.6,3096.3527777778,21958.0916666667
IPI00331205.1;IPI00831670.1,11135.11,79002.59,4.4,2530.7068181818,17955.1340909091
IPI00762033.2;IPI00624712.2,11120.39,78944.32,5.2,2138.5365384615,15181.6
IPI00121485.1;IPI00402929.1;IPI00881019.1;IPI00880222.1,11108.89,78898.76,9.64,1152.3744813278,8184.5186721992
IPI00311123.3;IPI00874349.1;IPI00664676.1;IPI00876283.1,11104.52,78881.45,,,
IPI00110363.1;IPI00944213.1,11081.51,78790.22,31.44,352.4653307888,2506.0502544529
IPI00400215.3,11062.86,78716.22,119.56,92.5297758448,658.3825694212
IPI00755997.2;IPI00753818.1;IPI00122012.7;IPI00652715.2;IPI00113212.3,11039.98,78625.36,11.05,999.0932126697,7115.4171945701
IPI00673693.1;IPI00648513.1;IPI00756793.1,11037.32,78614.79,14.33,770.2247034194,5486.028611305
IPI00126548.2,11022.51,78555.93,21.65,509.1228637413,3628.4494226328
IPI00417168.1,10987,78414.65,43.76,251.0740402194,1791.925274223
IPI00119124.2,10974.32,78364.15,6.55,1675.4687022901,11963.9923664122
IPI00124411.2,10967.06,78335.23,5.54,1979.6137184116,14139.9332129964
IPI00119036.2;IPI00109403.2,10944.31,78244.54,9.99,1095.5265265265,7832.2862862863
IPI00338904.1,10909.65,78106.21,17.35,628.7982708934,4501.7988472623
IPI00654216.2;IPI00911135.1;IPI00117929.1;IPI00277552.2;IPI00890838.1,10900.62,78070.14,21.43,508.6616892207,3643.0303313113
IPI00752277.1;IPI00755717.1;IPI00750975.1;IPI00113281.2,10887.84,78019.06,9.15,1189.9278688525,8526.6732240437
IPI00652110.1;IPI00885355.1;IPI00454097.3;IPI00885737.1,10874.17,77964.4,24.21,449.1602643536,3220.3387030153
IPI00124298.2;IPI00923685.1,10865.86,77931.16,12.9,842.3147286822,6041.1751937985
IPI00828486.1;IPI00400329.2,10832.89,77799.16,5.38,2013.5483271376,14460.8104089219
IPI00459253.1,10788.21,77619.99,,,
IPI00380203.4;IPI00620557.2,10748.97,77462.37,14.56,738.2534340659,5320.2177197802
IPI00858058.1,10740.33,77427.63,,,
IPI00282522.3;IPI00466978.3;IPI00125355.2,10728.28,77379.16,8.4,1277.1761904762,9211.8047619048
IPI00124695.1;IPI00228044.1;IPI00228045.1;IPI00850053.1;IPI00405384.1,10719.56,77344.06,8.18,1310.4596577017,9455.2640586797
IPI00136271.2;IPI00890284.1,10718.53,77339.92,4.51,2376.6141906874,17148.5410199557
IPI00122523.1;,10689.87,77224.49,10.01,1067.9190809191,7714.7342657343
IPI00420257.4;IPI00224135.2,10688.36,77218.4,5.13,2083.5009746589,15052.3196881092
IPI00928548.1;IPI00928127.1;IPI00135921.2;IPI00751778.1;IPI00466867.2;IPI00928235.1;IPI00928506.1;IPI00927959.1;IPI00928156.1,10676.81,77171.84,10.36,1030.5801158301,7449.0193050193
IPI00653438.1;IPI00468202.4,10672.92,77156.16,11.77,906.790144435,6555.3237043331
IPI00762919.2,10672.88,77155.99,10.2,1046.3607843137,7564.312745098
IPI00331075.4;IPI00919216.1;IPI00919134.1,10662.89,77115.7,11.39,936.1624231782,6770.4741000878
IPI00340836.1,10659.09,77100.37,43.67,244.0826654454,1765.5225555301
IPI00226790.2;IPI00856208.1;IPI00851052.1;IPI00895397.1;IPI00881078.1,10658.52,77098.07,16.97,628.080141426,4543.1979964644
IPI00131423.1,10637.98,77015.15,18.23,583.5425123423,4224.6379594076
IPI00120097.1;IPI00652722.1,10613.38,76915.75,14.24,745.3216292135,5401.3869382023
IPI00227251.4;IPI00890877.1,10593.93,76837.08,11.3,937.5159292035,6799.7415929204
IPI00221850.1,10583.65,76795.48,9.53,1110.5613850997,8058.2875131165
IPI00605187.4;IPI00874570.1;IPI00117831.2,10564.99,76719.92,30,352.1663333333,2557.3306666667
IPI00408059.4;IPI00118131.6;IPI00457543.3;IPI00466617.1;IPI00408024.1,10559.7,76698.49,18.97,556.6526093832,4043.1465471798
IPI00123365.1;IPI00648327.1;IPI00667340.3;IPI00121505.3;IPI00648592.1,10556.76,76686.57,13.28,794.936746988,5774.5911144578
IPI00858314.1;IPI00420601.5,10542.98,76630.71,14.79,712.8451656525,5181.2515212982
IPI00420481.5,10537.35,76607.88,24.3,433.6358024691,3152.587654321
IPI00676243.2;IPI00408909.4,10530.71,76580.95,8.89,1184.5568053993,8614.2800899888
IPI00458223.2,10518.53,76531.53,4.09,2571.7677261614,18711.8655256724
IPI00621735.3,10486.86,76402.9,6.88,1524.2529069768,11105.0726744186
IPI00121435.1;IPI00331130.1;IPI00857330.1,10450.41,76254.64,21.77,480.0372071658,3502.7395498392
IPI00169460.1;IPI00757710.1,10447.51,76242.83,20.58,507.6535471331,3704.70505345
IPI00420483.4;IPI00955070.1;IPI00457619.2;IPI00955090.1;IPI00955120.1,10436.74,76198.98,24.69,422.7112191171,3086.2284325638
IPI00315437.6,10434.81,76191.12,,,
IPI00109033.3;IPI00648686.1;IPI00648443.1;IPI00881233.1;IPI00458939.5,10420.52,76132.89,16.89,616.963883955,4507.5719360568
IPI00387421.1;IPI00405987.2;IPI00875215.1,10408.81,76085.16,3.59,2899.3899721449,21193.6378830084
IPI00323349.2,10402.91,76061.09,6.07,1713.823723229,12530.6573311367
IPI00454119.3;IPI00651832.1,10341.12,75808.74,10.34,1000.1083172147,7331.5996131528
IPI00228202.1;IPI00480452.5;IPI00460713.5;IPI00858016.1,10340.1,75804.56,,,
IPI00758024.1;IPI00754071.1;IPI00404031.1,10339.89,75803.71,67.37,153.47914502,1125.1849487903
IPI00317722.3;IPI00228601.1,10325.01,75742.83,14.25,724.5621052632,5315.2863157895
IPI00120490.1,10318.21,75715,,,
IPI00153133.4,10300.52,75642.56,,,
IPI00130160.3;IPI00798508.1;IPI00652305.1,10270.59,75519.87,14.08,729.4453125,5363.6271306818
IPI00399440.2;IPI00869420.1;IPI00474774.1,10267.08,75505.47,11.63,882.8099742046,6492.301805675
IPI00420651.3;IPI00649394.1,10262.64,75487.25,21.19,484.3152430392,3562.3997168476
IPI00222203.1;IPI00267596.1;IPI00874655.1,10241.15,75399.03,3.51,2917.7065527066,21481.2051282051
IPI00625995.1;IPI00229784.2,10236.01,75377.92,19.23,532.2938117525,3919.8086323453
IPI00124291.1,10177.8,75138.49,2.98,3415.3691275168,25214.2583892617
IPI00896602.2;IPI00896607.1,10120.49,74902.17,,,
IPI00133545.1,10105.55,74840.46,3.19,3167.8840125392,23460.9592476489
IPI00123875.1;IPI00223342.1;IPI00223339.1;IPI00223340.1;IPI00623629.2;IPI00775773.1;IPI00406158.5;IPI00776102.1;IPI00762375.2;IPI00653963.1;IPI00323424.1;IPI00857139.1,10104.18,74834.8,6.24,1619.2596153846,11992.7564102564
IPI00227631.5;IPI00761406.1;IPI00111585.2,10098.31,74810.55,20.58,490.685617104,3635.1093294461
IPI00221683.3;IPI00880686.1;IPI00880836.1;IPI00880460.1;IPI00880595.1;IPI00651923.1,10092.17,74785.17,,,
IPI00317289.8;IPI00556688.1,10067.87,74684.67,9.58,1050.9258872651,7795.8945720251
IPI00323496.5,10063.54,74666.75,,,
IPI00116529.1;IPI00126930.4,10056.36,74637.02,43.12,233.2179962894,1730.9141929499
IPI00112473.2;IPI00759945.1,10050.99,74614.79,,,
IPI00344090.7,10048.28,74603.56,6.8,1477.6882352941,10971.1117647059
IPI00453603.1;IPI00556724.3;IPI00648229.1;IPI00225077.3,10039.92,74568.93,11.43,878.3832020997,6523.9658792651
IPI00119242.1;IPI00875121.1;IPI00848889.1,10036.53,74554.88,12.68,791.5244479495,5879.7223974763
IPI00648579.1;IPI00165727.3;IPI00283172.7;IPI00626516.2;IPI00649620.1;IPI00648016.1,10013.74,74460.4,12.66,790.9747235387,5881.5481832544
IPI00918916.1;IPI00229988.2;IPI00475248.3;IPI00229987.1;IPI00938504.1;IPI00943422.1;IPI00229989.1;IPI00229577.1;IPI00459431.4;IPI00648507.1,10004.8,74423.31,19.68,508.3739837398,3781.6722560976
IPI00656285.2;,9988.22,74354.48,9.59,1041.5245046924,7753.3347236705
IPI00131952.1,9977.45,74309.74,,,
IPI00129918.1;IPI00918782.1,9975.86,74303.14,32.54,306.5722188076,2283.4400737554
IPI00654120.1;IPI00856986.1;IPI00626838.2,9932.49,74122.76,3.09,3214.3980582524,23987.9482200647
IPI00229349.1;IPI00330864.1;IPI00130961.1;IPI00230466.1;IPI00649603.1,9932.05,74120.93,6.18,1607.1278317152,11993.6779935275
IPI00128905.1,9914.46,74047.67,13.8,718.4391304348,5365.7731884058
IPI00265298.3,9878.18,73896.39,17.85,553.3994397759,4139.8537815126
IPI00122992.1;IPI00755286.1,9876.72,73890.29,76.71,128.7540086038,963.2419502021
IPI00896710.1;IPI00457485.2;IPI00454041.2;IPI00454039.3;IPI00896681.1,9867.76,73852.89,19.52,505.5204918033,3783.4472336066
IPI00322707.5;IPI00857253.1;IPI00858024.2;IPI00857906.2;IPI00653405.1;IPI00858154.1;IPI00856201.1;IPI00653288.2;IPI00856336.1,9822.94,73665.58,12.83,765.6227591582,5741.6664068589
IPI00119524.1;IPI00607010.1,9794.14,73545.01,19.41,504.5924781041,3789.0267903143
IPI00265358.1,9791.95,73535.84,13.85,707,5309.446931408
IPI00831567.2;IPI00882371.1;IPI00876390.1,9769.74,73442.74,42.56,229.5521616541,1725.6282894737
IPI00719890.2;IPI00113873.1;IPI00221651.1;IPI00221649.1;IPI00719865.1;IPI00742440.1;IPI00742428.1,9752.76,73371.51,31.33,311.2914139802,2341.8930737313
IPI00122344.1,9732.78,73287.62,,,
IPI00420480.5;IPI00620823.2;IPI00885436.1;IPI00881875.1;IPI00762713.1;IPI00330269.3;IPI00650037.2,9731.74,73283.25,26.51,367.0969445492,2764.3625047152
IPI00127495.3,9698.54,73143.68,,,
IPI00132479.5,9685.2,73087.54,11.69,828.502994012,6252.1420017109
IPI00378156.2;IPI00227356.1;IPI00756587.1;IPI00856706.1;IPI00407191.2;IPI00227488.2,9669.54,73021.59,7.89,1225.5437262358,9254.9543726236
IPI00225732.4;IPI00776243.1;IPI00775928.1;IPI00928087.1;IPI00928048.1,9665,73002.46,15.75,613.6507936508,4635.0768253968
IPI00227654.3;IPI00947636.1;IPI00753829.1;,9653.87,72955.55,18.2,530.4324175824,4008.5467032967
IPI00387494.1;IPI00331546.2,9642.09,72905.88,1.53,6302.0196078431,47650.9019607843
IPI00280462.3;IPI00845571.1;IPI00845590.1;IPI00845534.1;IPI00856294.1,9640.64,72899.76,14.26,676.0617110799,5112.1851332398
IPI00129959.2;IPI00341584.6;IPI00469949.4;IPI00109135.1,9627.53,72844.44,14.68,655.8262942779,4962.1553133515
IPI00346834.1,9625.95,72837.77,,,
IPI00187529.1,9617.67,72802.82,30.83,311.9581576387,2361.4278300357
IPI00876413.1;IPI00126804.6;IPI00756485.3;IPI00875976.2;IPI00845647.1,9558.03,72550.62,,,
IPI00131962.1,9556.47,72544.02,5.2,1837.7826923077,13950.7730769231
IPI00261682.3;IPI00798560.1,9550.16,72517.29,19.45,491.0107969152,3728.3953727507
IPI00115626.1,9532.66,72443.13,11.32,842.1077738516,6399.5697879859
IPI00221611.3;IPI00850364.1,9530.48,72433.89,12.05,790.9112033195,6011.1112033195
IPI00337948.2;IPI00387213.1;IPI00653273.1,9513.64,72362.46,20.7,459.5961352657,3495.7710144928
IPI00678532.3;IPI00757760.1;IPI00758410.1;IPI00754431.1,9498.56,72298.46,8.2,1158.3609756098,8816.8853658537
IPI00153501.5;IPI00453929.1;IPI00880402.1;IPI00882264.1;IPI00880539.1,9469.07,72173.15,8.2,1154.7646341464,8801.6036585366
IPI00828649.1;IPI00226466.6;IPI00927973.1;IPI00648191.6;IPI00648837.2,9468.64,72171.32,,,
IPI00125261.1;IPI00830421.1,9454.29,72110.29,6.58,1436.8221884499,10959.0106382979
IPI00621027.2;IPI00752825.2,9449.44,72089.65,71.79,131.6261317732,1004.1739796629
IPI00153633.2;IPI00654285.2,9447.78,72082.58,19.8,477.1606060606,3640.5343434344
IPI00110280.4;IPI00856232.1,9442.22,72058.92,8.82,1070.5464852608,8169.9455782313
IPI00927994.1;IPI00112769.1;IPI00749988.1,9409.47,71919.38,19.67,478.3665480427,3656.2979156075
IPI00309972.7;IPI00849143.1;IPI00848962.1;IPI00881210.1;IPI00881792.1;IPI00880990.1,9402.62,71890.17,4.87,1930.7227926078,14761.841889117
IPI00165789.2,9399.89,71878.53,13.1,717.5488549618,5486.9106870229
IPI00225407.1;IPI00276157.2,9396.47,71863.94,4.64,2025.1012931035,15487.9181034483
IPI00136284.1;IPI00648669.1,9395.64,71860.39,36.62,256.5712725287,1962.3263244129
IPI00131754.2,9394.81,71856.85,8.74,1074.9210526316,8221.6075514874
IPI00311260.7;,9380.18,71794.41,16.14,581.175960347,4448.2286245353
IPI00319646.3;IPI00882293.1;IPI00885805.1,9375.9,71776.13,11.56,811.0640138408,6209.0077854671
IPI00387390.3;IPI00229735.2,9371.01,71755.25,5.83,1607.3773584906,12307.9331046312
IPI00137400.2,9341.39,71628.63,24.26,385.0531739489,2952.5403957131
IPI00380252.4;IPI00649717.1;IPI00649356.1;IPI00894913.1,9332.2,71589.32,8.55,1091.485380117,8373.0198830409
IPI00923106.1;IPI00221972.1,9317.64,71526.99,4.6,2025.5739130435,15549.3456521739
IPI00108791.1;IPI00420245.1,9307.53,71483.68,8.26,1126.8196125908,8654.1985472155
IPI00470077.2;IPI00468225.2;IPI00621842.6;IPI00284246.1;IPI00417165.2;IPI00849514.1;IPI00890246.1;IPI00875720.1;IPI00284242.4,9303.69,71467.23,13.47,690.6971046771,5305.6592427617
IPI00169551.3;IPI00318761.2;IPI00648437.5;IPI00854019.1;IPI00649140.1;IPI00649999.1,9301.51,71457.88,12.41,749.5173247381,5758.088638195
IPI00461822.6,9284.08,71383.15,17.21,539.458454387,4147.7716443928
IPI00320317.6,9277.7,71355.79,13.24,700.7326283988,5389.4101208459
IPI00226787.2;IPI00831326.1,9263.36,71294.24,8.6,1077.1348837209,8290.0279069768
IPI00131913.2;IPI00651788.2;IPI00153485.2,9257.09,71267.31,7.58,1221.2519788918,9402.0197889182
IPI00122594.4;IPI00928170.1;IPI00928421.1;IPI00471313.1,9252.12,71245.97,19.23,481.1294851794,3704.9386375455
IPI00222090.6,9234.86,71171.79,9.41,981.3878852285,7563.4208289054
IPI00464280.2;IPI00336844.1;IPI00400174.1;IPI00648472.1;IPI00880567.1,9234.35,71169.6,10.6,871.1650943396,6714.1132075472
IPI00421162.4,9221.76,71115.45,21.7,424.9658986175,3277.2096774194
IPI00153603.1;IPI00474093.1,9220.06,71108.14,38.62,238.7379596064,1841.2257897463
IPI00884509.1;IPI00471477.1,9217.4,71096.7,69.72,132.205966724,1019.7461273666
IPI00330318.2,9178.19,70927.82,1.72,5336.1569767442,41237.1046511628
IPI00122249.2;IPI00658407.1,9081.99,70512.13,9,1009.11,7834.6811111111
IPI00128689.2;IPI00830992.1,9055.59,70397.72,54.26,166.8925543679,1297.4146701069
IPI00316650.1;IPI00648959.1;IPI00227970.1;IPI00649957.2;IPI00648448.2;IPI00648217.1,9045.96,70355.95,,,
IPI00553266.3,9037.12,70317.58,23.22,389.1955211025,3028.3195521103
IPI00380766.5;IPI00648776.3;IPI00648519.5;IPI00649486.2,9017.91,70234.16,14.65,615.556996587,4794.1406143345
IPI00319131.4;IPI00407358.1,9007.79,70190.18,8.94,1007.5827740492,7851.2505592841
IPI00454140.5,8997.43,70145.14,10.34,870.1576402321,6783.8626692457
IPI00131547.1,8993.17,70126.61,98.76,91.060854597,710.0709801539
IPI00123138.1,8968.51,70019.27,,,
IPI00131609.1;IPI00515213.2;IPI00515589.1,8966.65,70011.17,10.75,834.1069767442,6512.6669767442
IPI00119667.1,8951.26,69944.11,,,
IPI00955107.1;IPI00229879.3;IPI00880974.1,8950.49,69940.75,,,
IPI00121481.4,8948.52,69932.17,3.99,2242.7368421053,17526.8596491228
IPI00676957.3;IPI00116913.3;IPI00624079.4,8944.75,69915.73,45.75,195.5136612022,1528.2126775956
IPI00319933.4;IPI00382008.2;IPI00857746.1;IPI00858140.1;IPI00857626.1;IPI00856930.1;IPI00857868.1;IPI00856678.1,8936.17,69878.31,5.83,1532.7907375643,11985.9879931389
IPI00754134.3;IPI00380415.2;IPI00405591.4;IPI00756809.1;IPI00751691.1;,8934.69,69871.85,24.03,371.8139825218,2907.6924677487
IPI00849628.1,8890.14,69677.29,,,
IPI00112095.1;IPI00110238.1,8869.08,69585.16,4.35,2038.8689655173,15996.5885057471
IPI00353927.15;IPI00919082.1,8866.01,69571.72,2.46,3604.0691056911,28281.1869918699
IPI00137087.5,8859.16,69541.73,7.2,1230.4388888889,9658.5736111111
IPI00111730.2;IPI00954636.1;IPI00880676.1;IPI00880304.1;IPI00882039.1,8822.82,69382.45,,,
IPI00322456.2;IPI00874782.1;IPI00885717.1,8790.99,69242.7,13.95,630.1784946237,4963.6344086022
IPI00125460.1;IPI00856424.1;,8769.29,69147.3,79.03,110.9615335948,874.9500189801
IPI00885813.1,8768.61,69144.31,,,
IPI00112275.1,8764.66,69126.94,9.23,949.5839653304,7489.3759479957
IPI00857196.1,8763.64,69122.45,,,
IPI00669935.3;IPI00118413.2;IPI00131223.1;IPI00930870.2;IPI00114304.5;IPI00943435.1;IPI00886380.1,8749.15,69058.67,,,
IPI00116877.5,8720.7,68933.31,23.71,367.8068325601,2907.3517503163
IPI00420246.1,8714.46,68905.79,8.19,1064.0366300366,8413.4053724054
IPI00131513.5;IPI00828824.1;IPI00857774.1;IPI00895503.1,8705.31,68865.42,35.04,248.4392123288,1965.3373287671
IPI00851031.1;IPI00757696.3;IPI00378430.3;IPI00648543.4;IPI00649447.1,8688.5,68791.2,,,
IPI00319816.3;IPI00377449.1;IPI00850720.1;IPI00223614.1,8652.92,68633.91,5.37,1611.3445065177,12780.9888268156
IPI00118892.6;IPI00857380.1;IPI00856578.1;IPI00856699.1;IPI00856976.1,8632.23,68542.31,2.69,3209.0074349442,25480.4126394052
IPI00135606.1,8616.09,68470.79,,,
IPI00331242.4;IPI00648102.1;IPI00648839.1;IPI00648940.1;IPI00649350.1;IPI00649179.1,8616.07,68470.7,6.13,1405.5579119087,11169.7716150082
IPI00896595.1;IPI00459324.1;IPI00749615.1;IPI00473757.1;IPI00109156.1,8608.91,68438.95,10.36,830.9758687259,6606.0762548263
IPI00876343.1;IPI00311726.3,8599.67,68397.97,15.94,539.5025094103,4290.9642409034
IPI00227880.1;IPI00125855.1;IPI00856369.1;IPI00760028.1;IPI00857918.1;IPI00760055.1,8598.79,68394.06,18.45,466.0590785908,3706.9951219512
IPI00330477.4;IPI00407944.2;IPI00857835.1,8566.08,68248.8,38.09,224.8905224468,1791.7773693883
IPI00648499.1;IPI00314543.2;IPI00649961.1;IPI00885868.1;IPI00886082.1;IPI00110089.1;IPI00467875.3;IPI00649233.1,8556.01,68204.03,20.84,410.5571017274,3272.7461612284
IPI00113347.3;IPI00875497.1;IPI00856889.1;IPI00757912.1;IPI00856855.1;IPI00918091.1;IPI00856736.1,8514.49,68019.2,9.36,909.6677350427,7267.0085470086
IPI00120201.1,8511.42,68005.52,5.16,1649.5,13179.3643410853
IPI00121190.1;IPI00411099.1;IPI00229006.3,8465.56,67800.86,7.81,1083.9385403329,8681.2880921895
IPI00137311.1;IPI00137313.2,8453.94,67748.93,63.55,133.0281667978,1066.0728560189
IPI00652977.1;IPI00918340.1,8445.03,67709.09,,,
IPI00119004.1,8442.59,67698.18,8.39,1006.2681764005,8068.9129916567
IPI00125567.3;IPI00556778.2;IPI00757108.1,8419.54,67595.01,14.44,583.0706371191,4681.0948753463
IPI00459277.1,8387.68,67452.2,3.95,2123.4632911392,17076.5063291139
IPI00317025.3,8381.56,67424.74,7.7,1088.5142857143,8756.4597402597
IPI00459652.3;IPI00462732.6;IPI00918136.1,8378.49,67410.96,20.24,413.9570158103,3330.581027668
IPI00311300.4,8360.82,67331.61,27.63,302.5993485342,2436.9022801303
IPI00463065.4;IPI00677307.3;IPI00828408.2;IPI00874788.1;IPI00762579.1;IPI00876345.1;IPI00875255.1;IPI00849103.1,8339.01,67233.58,,,
IPI00129107.1;IPI00154021.1,8286.02,66994.91,9.35,886.2053475936,7165.2310160428
IPI00310928.1,8281.47,66974.38,25.39,326.1705395825,2637.8251280032
IPI00336870.3;IPI00648969.2,8260.69,66880.58,7.24,1140.979281768,9237.6491712707
IPI00108989.4;IPI00621717.2,8259.87,66876.88,26.73,309.0112233446,2501.9408903853
IPI00623171.1;IPI00169986.4;IPI00881313.1,8253.93,66850.04,7.7,1071.938961039,8681.8233766234
IPI00469351.3,8227.18,66729.1,,,
IPI00421209.3;IPI00309230.3;IPI00856318.1;IPI00404037.1;IPI00856606.1,8221.76,66704.57,26.84,306.3248882265,2485.2671385991
IPI00321407.6;IPI00885960.1;IPI00886098.1,8220.94,66700.86,26.77,307.0952558835,2491.6271946209
IPI00121357.1,8212.38,66662.1,11.03,744.5494106981,6043.708068903
IPI00114410.1;IPI00469281.3;IPI00649097.1,8207.7,66640.91,10.85,756.470046083,6142.0193548387
IPI00169658.4;IPI00622268.2;IPI00469164.1,8204.85,66628,5.5,1491.7909090909,12114.1818181818
IPI00381357.4;IPI00480280.1;IPI00895258.1,8198.42,66598.87,38.07,215.3511951668,1749.3793012871
IPI00125570.1,8194.99,66583.32,15.41,531.7968851395,4320.7865022713
IPI00352130.5;IPI00944127.1;IPI00876021.2,8193.66,66577.29,8.04,1019.1119402985,8280.7574626866
IPI00130632.3,8169.88,66469.43,36.22,225.5626725566,1835.1581998896
IPI00109815.2;IPI00338328.4;IPI00857733.1,8158.08,66415.86,18.66,437.1961414791,3559.2636655949
IPI00664143.2,8153.76,66396.24,13.59,599.9823399559,4885.6688741722
IPI00454030.3,8144.43,66353.85,7.92,1028.3371212121,8378.0113636364
IPI00752390.4;IPI00875821.1;IPI00918415.1;IPI00918577.1;IPI00918644.1,8141.33,66339.75,,,
IPI00111810.1;IPI00229454.1;IPI00875524.1,8129.54,66286.14,46.11,176.3075254825,1437.5653871178
IPI00453906.2,8124.68,66264.04,7.55,1076.1165562914,8776.6940397351
IPI00134994.3;IPI00919128.1,8114.95,66219.75,19.89,407.9914529915,3329.2986425339
IPI00881976.1;IPI00116309.2,8114.51,66217.75,28.34,286.327099506,2336.5472829922
IPI00466518.2;IPI00754344.2;IPI00473407.1,8099.85,66150.99,7.55,1072.8278145695,8761.7205298013
IPI00469004.4,8073.3,66029.94,23.89,337.9363750523,2763.9154457932
IPI00265122.1;IPI00462796.1,8046.93,65909.54,6.14,1310.5749185668,10734.4527687296
IPI00387216.1;IPI00387217.1,8018.04,65777.43,6.71,1194.9388971684,9802.8956780924
IPI00762884.1;IPI00880396.1;IPI00126002.6;IPI00228171.4;IPI00875886.2;IPI00406995.2;IPI00808205.1,8014.29,65760.27,3.31,2421.2356495468,19867.1510574018
IPI00128410.3;IPI00918583.1,8012.23,65750.84,9.59,835.4775808133,6856.1876955162
IPI00420389.3;IPI00317709.1;IPI00473742.1;IPI00918469.1,7995.25,65673.07,,,
IPI00331663.18,7990.01,65649.05,37.62,212.3872939926,1745.0571504519
IPI00788406.1;IPI00169589.2;IPI00474916.3,7982.67,65615.4,3.59,2223.5849582173,18277.2701949861
IPI00274222.2,7975.97,65584.67,3.82,2087.9502617801,17168.7617801047
