ORF,protein2RNA
YDL021W,2020
YDL022W,807
YDL023C,
YDL024C,
YDL025C,861
YDL026W,
YDL027C,450
YDL028C,
YDL029W,6650
YDL030W,3920
YDL031W,
YDL032W,
YDL033C,1510
YDL034W,
YDL035C,
YDL036C,639
YDL037C,
YDL038C,
YDL039C,
YDL040C,7600
YDL041W,
YDL042C,3350
YDL043C,3460
YDL044C,2060
YDL045C,
YDL045W-A,259
YDL046W,2840
YDL047W,3970
YDL048C,623
YDL049C,
YDL050C,
YDL051W,
YDL052C,
YDL053C,1560
YDL054C,
YDL055C,97100
YDL056W,521
YDL057W,
YDL058W,2330
YDL059C,468
YDL060W,1390
YDL061C,5410
YDL062W,
YDL063C,2600
YDL064W,2600
YDL065C,5350
YDL066W,
YDL067C,35500
YDL068W,
YDL069C,556
YDL070W,2930
YDL071C,
YDL072C,2840
YDL073W,
YDL074C,2980
YDL075W,
YDL076C,3060
YDL077C,319
YDL078C,3300
YDL079C,
YDL080C,2140
YDL081C,
YDL082W,133000
YDL083C,
YDL084W,51700
YDL085C-A,876
YDL085W,
YDL086W,
YDL087C,2270
YDL088C,2740
YDL089W,606
YDL090C,3910
YDL091C,233
YDL092W,8000
YDL093W,
YDL094C,
YDL095W,41500
YDL096C,
YDL097C,16800
YDL098C,907
YDL099W,5220
YDL100C,17300
YDL101C,3480
YDL102W,
YDL103C,5480
YDL104C,1400
YDL105W,
YDL106C,6420
YDL107W,736
YDL108W,4400
YDL109C,195
YDL110C,2110
YDL111C,7110
YDL112W,861
YDL113C,358
YDL114W,
YDL114W-A,
YDL115C,1080
YDL116W,8580
YDL117W,377
YDL118W,
YDL119C,1550
YDL120W,1560
YDL121C,3260
YDL122W,8970
YDL123W,6780
YDL124W,4030
YDL125C,5410
YDL126C,78400
YDL127W,
YDL128W,7770
YDL129W,450
YDL130W,22400
YDL130W-A,
YDL131W,21900
YDL132W,377
YDL133C-A,4910
YDL133W,
YDL134C,5620
YDL135C,1670
YDL136W,19100
YDL137W,25000
YDL138W,
YDL139C,556
YDL140C,
YDL141W,1970
YDL142C,876
YDL143W,5530
YDL144C,5170
YDL145C,15200
YDL146W,329
YDL147W,5710
YDL148C,
YDL149W,
YDL150W,998
YDL151C,
YDL152W,
YDL153C,
YDL154W,
YDL155W,892
YDL156W,3810
YDL157C,752
YDL158C,
YDL159W,672
YDL159W-A,
YDL160C,42900
YDL161W,
YDL162C,
YDL163W,
YDL164C,149
YDL165W,2120
YDL166C,8350
YDL167C,3570
YDL168W,8370
YDL169C,
YDL170W,1200
YDL171C,18900
YDL172C,
YDL173W,1140
YDL174C,10800
YDL175C,1800
YDL176W,339
YDL177C,907
YDL178W,11400
YDL179W,
YDL180W,
YDL181W,981
YDL182W,28100
YDL183C,
YDL184C,11900
YDL185C-A,
YDL185W,200000
YDL186W,
YDL187C,
YDL188C,4110
YDL189W,892
YDL190C,2600
YDL191W,
YDL192W,19300
YDL193W,
YDL194W,
YDL195W,1840
YDL196W,
YDL197C,1910
YDL198C,
YDL199C,
YDL200C,
YDL201W,2630
