ORF,protein2RNA
YOL012C,2840
YOL013C,2660
YOL013W-A,
YOL014W,
YOL015W,
YOL016C,7500
YOL017W,432
YOL018C,
YOL019W,
YOL020W,752
YOL021C,606
YOL022C,125
YOL023W,1400
YOL024W,
YOL025W,195
YOL026C,
YOL027C,7390
YOL028C,1690
YOL029C,
YOL030W,11700
YOL031C,2420
YOL032W,1910
YOL033W,2940
YOL034W,892
YOL035C,
YOL036W,
YOL037C,
YOL038W,16800
YOL039W,428000
YOL040C,
YOL041C,5910
YOL042W,3480
YOL043C,125
YOL044W,1070
YOL045W,2220
YOL046C,1780
YOL047C,155
YOL048C,
YOL049W,3430
YOL050C,
YOL051W,606
YOL052C,7060
YOL052C-A,784
YOL053W,
YOL054W,6490
YOL055C,195
YOL056W,3730
YOL057W,3260
YOL058W,1870
YOL059W,8970
YOL060C,5890
YOL061W,3310
YOL062C,3410
YOL063C,125
YOL064C,7330
YOL065C,1200
YOL066C,1540
YOL067C,2190
YOL068C,1440
YOL069W,1550
YOL070C,1620
YOL071W,1080
YOL072W,1140
YOL073C,
YOL075C,
YOL076W,5800
YOL077C,13200
YOL077W-A,1320
YOL078W,704
YOL079W,
YOL080C,4280
YOL081W,
YOL082W,1250
YOL083W,
YOL084W,
YOL085C,
YOL086C,
YOL086W-A,
YOL087C,589
YOL088C,1520
YOL089C,238
YOL090W,1230
YOL091W,
YOL092W,1800
YOL093W,4090
YOL094C,2760
YOL095C,
YOL096C,259
YOL097C,12100
YOL098C,8120
YOL099C,
YOL100W,
YOL101C,
YOL102C,672
YOL103W,468
YOL104C,
YOL105C,
YOL106W,
YOL107W,1630
YOL108C,521
YOL109W,
YOL110W,937
YOL111C,6510
YOL112W,1730
YOL113W,238
YOL114C,
YOL115W,7550
YOL116W,491
YOL117W,1320
YOL118C,
YOL119C,
YOL120C,
YOL121C,29000
YOL122C,
YOL123W,
YOL124C,2020
YOL125W,1230
YOL126C,5260
YOL127W,
YOL128C,
YOL129W,1900
YOL130W,
YOL131W,
YOL132W,
YOL133W,
YOL134C,
YOL135C,7600
YOL136C,
YOL137W,414
YOL138C,606
YOL139C,14200
YOL140W,2300
YOL141W,830
YOL142W,6050
YOL143C,3260
YOL144W,2170
YOL145C,12900
YOL146W,2210
YOL147C,1630
YOL148C,4150
YOL149W,2880
YOL150C,
YOL151W,5460
YOL152W,
YOL153C,
YOL154W,
YOL155C,
YOL156W,
YOL157C,
YOL158C,
YOL159C,
YOL159C-A,125
YOL160W,
YOL161C,
YOL162W,
YOL163W,
YOL164W,
YOL165C,
YOL166C,
YOR001W,2160
YOR002W,
YOR003W,
YOR004W,6960
YOR005C,
YOR006C,3610
YOR007C,9420
YOR008C,664
YOR008C-A,
YOR008W-B,
YOR009W,
YOR010C,
YOR011W,
YOR012W,
YOR013W,
YOR014W,300
YOR015W,
YOR016C,2710
YOR017W,1730
YOR018W,386
YOR019W,
YOR020C,149
YOR021C,2520
YOR022C,736
YOR023C,339
YOR024W,
YOR025W,319
YOR026W,1430
YOR027W,67600
YOR028C,
YOR029W,
YOR030W,
YOR031W,
YOR032C,
YOR033C,672
YOR034C,815
YOR035C,3410
YOR036W,
YOR037W,2730
YOR038C,922
YOR039W,7160
YOR040W,
YOR041C,
YOR042W,623
YOR043W,1800
YOR044W,4280
YOR045W,
YOR046C,14900
YOR047C,238
YOR048C,623
YOR049C,
YOR050C,
YOR051C,10800
YOR052C,9520
YOR053W,
YOR054C,
YOR055W,
YOR056C,4490
YOR057W,1340
YOR058C,556
YOR059C,1210
YOR060C,1690
YOR061W,4540
YOR062C,2010
YOR063W,450
YOR064C,861
YOR065W,39900
YOR066W,
YOR067C,
YOR068C,
YOR069W,6120
YOR070C,206
YOR071C,
YOR072W,
YOR073W,
YOR074C,
YOR075W,
YOR076C,233
YOR077W,4590
YOR078W,2120
YOR079C,
YOR080W,
YOR081C,358
YOR082C,
YOR083W,1440
YOR084W,2350
YOR085W,4030
YOR086C,6140
YOR087W,1310
YOR088W,639
YOR089C,8760
YOR090C,7550
YOR091W,4220
YOR092W,
YOR093C,41.1
YOR094W,1240
YOR095C,5680
YOR096W,41000
YOR097C,1200
YOR098C,468
YOR099W,5480
YOR100C,
YOR101W,2050
YOR102W,
YOR103C,
YOR104W,996
YOR105W,3670
YOR106W,414
YOR107W,
YOR108W,28800
YOR109W,1520
YOR110W,2660
YOR111W,1940
YOR112W,1360
YOR113W,556
YOR114W,
YOR115C,
YOR116C,6020
YOR117W,
YOR118W,2600
YOR119C,
YOR120W,
YOR121C,
YOR122C,
YOR123C,1110
YOR124C,2420
YOR125C,
YOR126C,
YOR127W,396
YOR128C,5410
YOR129C,768
YOR130C,432
YOR131C,396
YOR132W,7380
YOR133W,82700
YOR134W,
YOR135C,
YOR136W,43100
YOR137C,
YOR138C,5930
YOR139C,
YOR140W,1040
YOR141C,1010
YOR142W,18400
YOR143C,3320
YOR144C,
YOR145C,
YOR146W,
YOR147W,10400
YOR148C,752
YOR149C,
YOR150W,6730
YOR151C,18700
YOR152C,1890
YOR153W,42000
YOR154W,3250
YOR155C,1590
YOR156C,3170
YOR157C,11400
YOR158W,2010
YOR159C,556
YOR160W,6340
YOR161C,
YOR162C,
YOR163W,3440
YOR164C,5350
YOR165W,2270
YOR166C,
YOR167C,94500
YOR168W,37500
YOR169C,
YOR170W,
YOR171C,2840
YOR172W,125
YOR173W,1810
YOR174W,1620
YOR175C,
YOR176W,22700
YOR177C,
YOR178C,
YOR179C,1430
YOR180C,
YOR181W,8580
YOR182C,18500
YOR183W,
YOR184W,15900
YOR185C,2460
YOR186W,
YOR187W,58500
YOR188W,172
YOR189W,538
YOR190W,
YOR191W,
YOR192C,
YOR193W,382
YOR194C,
YOR195W,314
YOR196C,1630
YOR197W,1400
YOR198C,33400
YOR199W,
YOR200W,
YOR201C,2760
YOR202W,2100
YOR203W,
YOR204W,
YOR205C,937
YOR206W,29000
YOR207C,1950
YOR208W,149
YOR209C,32100
YOR210W,5300
YOR211C,
YOR212W,2050
YOR213C,1800
YOR214C,
YOR215C,2870
YOR216C,7620
YOR217W,2360
YOR218C,
YOR219C,
YOR220W,967
YOR221C,1360
YOR222W,
YOR223W,
YOR224C,6210
YOR225W,
YOR226C,3420
YOR227W,195
YOR228C,
YOR229W,3750
YOR230W,7750
YOR231W,1040
YOR232W,
YOR233W,143
YOR234C,65600
YOR235W,
YOR236W,1080
YOR237W,1690
YOR238W,892
YOR239W,17000
YOR241W,7080
YOR242C,3000
YOR243C,4150
YOR244W,1170
YOR245C,907
YOR246C,967
YOR247W,
YOR248W,
YOR249C,259
YOR250C,
YOR250C,
YOR251C,5770
YOR252W,5350
YOR253W,2370
YOR254C,17700
YOR255W,
YOR256C,300
YOR257W,
YOR258W,396
YOR259C,
YOR260W,9530
YOR261C,19800
YOR262W,9230
YOR263C,
YOR264W,922
YOR265W,1760
YOR266W,1460
YOR267C,300
YOR268C,
YOR269W,
YOR270C,55700
YOR271C,9290
YOR272W,6670
YOR273C,21400
YOR274W,2020
YOR275C,2880
YOR276W,26900
YOR277C,
YOR278W,1360
YOR279C,861
YOR280C,
YOR281C,7700
YOR282W,
YOR283W,8300
YOR284W,1360
YOR285W,7470
YOR286W,4220
YOR287C,
YOR288C,830
YOR289W,1710
YOR290C,217
YOR291W,
YOR292C,
YOR293W,54100
YOR294W,
YOR295W,639
YOR296W,300
YOR297C,4440
YOR298C-A,47300
YOR298W,
YOR299W,2070
YOR300W,
YOR301W,
YOR302W,
YOR303W,2580
YOR304C-A,656
YOR304W,1520
YOR305W,1420
YOR306C,
YOR307C,784
YOR308C,
YOR309C,
YOR310C,34700
YOR311C,784
YOR312C,
YOR313C,
YOR314W,
YOR314W-A,
YOR315W,
YOR316C,2070
YOR317W,7470
YOR318C,
YOR319W,1240
YOR320C,238
YOR321W,2720
YOR322C,295
YOR323C,6920
YOR324C,259
YOR325W,
YOR326W,4340
YOR327C,300
YOR328W,
YOR329C,704
YOR330C,377
YOR331C,
YOR332W,16100
YOR333C,
YOR334W,768
YOR335C,33800
YOR336W,815
YOR337W,736
YOR338W,
YOR339C,
YOR340C,4070
YOR341W,2840
YOR342C,1360
YOR343C,
YOR344C,486
YOR345C,
YOR346W,521
YOR347C,2130
YOR348C,
YOR349W,704
YOR350C,861
YOR351C,
YOR352W,3510
YOR353C,892
YOR354C,7250
YOR355W,2280
YOR356W,3320
YOR357C,
YOR358W,450
YOR359W,3200
YOR360C,6510
YOR361C,47500
YOR362C,12000
YOR363C,
YOR364W,
YOR365C,
YOR366W,
YOR367W,1580
YOR368W,189
YOR369C,
YOR370C,23800
YOR371C,1640
YOR372C,799
YOR373W,892
YOR374W,22200
YOR375C,77500
YOR376W,
YOR377W,1990
YOR378W,
YOR379C,
YOR380W,
YOR381W,
YOR382W,
YOR383C,
YOR384W,
YOR385W,504
YOR386W,688
YOR387C,
YOR388C,
YOR389W,
YOR390W,
YOR391C,
YOR392W,
YOR393W,
YOR394W,
YOR396W,
YPL001W,
YPL002C,1040
YPL003W,
YPL004C,104000
YPL005W,1760
YPL006W,521
YPL007C,2070
YPL008W,98.9
YPL009C,7700
YPL010W,
YPL011C,3300
YPL012W,8170
YPL013C,
YPL014W,
YPL015C,5260
YPL016W,92.3
YPL017C,6400
YPL018W,1250
YPL019C,2630
YPL020C,377
YPL021W,
YPL022W,1400
YPL023C,
YPL024W,1500
YPL025C,
YPL026C,2810
YPL027W,
YPL028W,60900
YPL029W,1440
YPL030W,7720
YPL031C,6160
YPL032C,2180
YPL033C,
YPL034W,
YPL035C,
YPL036W,
YPL037C,18000
YPL038W,521
YPL039W,
YPL040C,1270
YPL041C,
YPL042C,
YPL043W,4990
YPL044C,
YPL045W,1300
YPL046C,538
YPL047W,672
YPL048W,60900
YPL049C,1460
YPL050C,1630
YPL051W,1920
YPL052W,
YPL053C,4380
YPL054W,
YPL055C,2060
YPL056C,
YPL057C,
YPL058C,752
YPL059W,6260
YPL060W,396
YPL061W,135000
YPL062W,
YPL063W,2400
YPL064C,2360
YPL065W,1420
YPL066W,396
YPL067C,1470
YPL068C,
YPL069C,2840
YPL070W,
YPL071C,
YPL072W,450
YPL073C,
YPL074W,259
YPL075W,259
YPL076W,
YPL077C,
YPL078C,12900
YPL079W,66400
YPL080C,
YPL081W,106000
YPL082C,6560
YPL083C,531
YPL084W,10200
YPL085W,358
YPL086C,4760
YPL087W,
YPL088W,
YPL089C,736
YPL090C,66000
YPL091W,7600
YPL092W,
YPL093W,28000
YPL094C,16500
YPL095C,573
YPL096W,4850
YPL097W,996
YPL098C,
YPL099C,
YPL100W,6020
YPL101W,358
YPL102C,
YPL103C,178
YPL104W,1550
YPL105C,830
YPL106C,71700
YPL107W,2100
YPL108W,
YPL109C,2470
YPL110C,2300
YPL111W,42800
YPL112C,2420
YPL113C,
YPL114W,
YPL115C,752
YPL116W,4420
YPL117C,25500
YPL118W,656
YPL119C,1480
YPL120W,2490
YPL121C,
YPL122C,8900
YPL123C,504
YPL124W,
YPL125W,6300
YPL126W,6560
YPL127C,6560
YPL128C,6380
YPL129W,3120
YPL130W,
YPL131W,
YPL132W,
YPL133C,799
YPL134C,2840
YPL135W,10800
YPL136W,
YPL137C,656
YPL138C,1680
YPL139C,3040
YPL140C,1950
YPL141C,556
YPL142C,
YPL143W,
YPL144W,2210
YPL145C,32200
YPL146C,1600
YPL147W,
YPL148C,486
YPL149W,606
YPL150W,
YPL151C,1770
YPL152W,2430
YPL153C,6900
YPL154C,
YPL155C,656
YPL156C,
YPL157W,
YPL158C,238
YPL159C,
YPL160W,158000
YPL161C,6330
YPL162C,1440
YPL163C,688
YPL164C,
YPL165C,
YPL166W,752
YPL167C,
YPL168W,
YPL169C,2830
YPL170W,6300
YPL171C,
YPL172C,
YPL173W,
YPL174C,238
YPL175W,1480
YPL176C,396
YPL177C,521
YPL178W,6200
YPL179W,319
YPL180W,243
YPL181W,1590
YPL182C,
YPL183C,3450
YPL183W-A,538
YPL184C,7950
YPL185W,
YPL186C,
YPL187W,
YPL188W,4650
YPL189W,
YPL190C,5830
YPL191C,2050
YPL192C,
YPL193W,259
YPL194W,238
YPL195W,13500
YPL196W,1560
YPL197C,
YPL198W,7080
YPL199C,2130
YPL200W,
YPL201C,
YPL202C,
YPL203W,2220
YPL204W,10300
YPL205C,
YPL206C,3270
YPL207W,5410
YPL208W,4800
YPL209C,149
YPL210C,11800
YPL211W,5170
YPL212C,8130
YPL213W,3630
YPL214C,
YPL215W,14200
YPL216W,3060
YPL217C,
YPL218W,
YPL219W,396
YPL220W,116000
YPL221W,
YPL222W,2430
YPL223C,
YPL224C,
YPL225W,37500
YPL226W,37600
YPL227C,5800
YPL228W,3900
YPL229W,922
YPL230W,
YPL231W,17000
YPL232W,450
YPL233W,3710
YPL234C,538
YPL235W,3030
YPL236C,
YPL237W,
YPL238C,
YPL239W,13100
YPL240C,445000
YPL241C,1630
YPL242C,279
YPL243W,6280
YPL244C,
YPL245W,1130
YPL246C,7850
YPL247C,799
YPL248C,166
YPL249C,1940
YPL249C-A,5370
YPL250C,450
YPL251W,
YPL252C,14800
YPL253C,
YPL254W,7950
YPL255W,922
YPL256C,1270
YPL257W,
YPL258C,
YPL259C,4420
YPL260W,
YPL261C,
YPL262W,6920
YPL263C,4010
YPL264C,
YPL265W,432
YPL266W,
YPL267W,688
YPL268W,
YPL269W,656
YPL270W,3390
YPL271W,4280
YPL272C,
YPL273W,60300
YPL274W,1300
YPL275W,
YPL276W,
YPL277C,
YPL278C,
YPL279C,
YPL280W,
YPL281C,
YPL282C,
YPL283C,
YPR001W,
YPR002C-A,
YPR002W,2730
YPR003C,
YPR004C,2950
YPR005C,
YPR006C,1080
YPR007C,
YPR008W,339
YPR009W,
YPR010C,14100
YPR011C,
YPR012W,
YPR013C,195
YPR014C,
YPR015C,
YPR016C,18600
YPR016W-A,
YPR017C,1500
YPR018W,1590
YPR019W,8800
YPR020W,
YPR021C,
YPR022C,238
YPR023C,1890
YPR024W,20100
YPR025C,8700
YPR026W,
YPR027C,
YPR028W,1760
YPR029C,4850
YPR030W,
YPR031W,172
YPR032W,
YPR033C,26800
YPR034W,1360
YPR035W,346000
YPR036W,22500
YPR037C,259
YPR038W,
YPR039W,
YPR040W,5710
YPR041W,48300
YPR042C,377
YPR043W,44600
YPR044C,
YPR045C,3360
YPR046W,279
YPR047W,1800
YPR048W,
YPR049C,85.5
YPR050C,
YPR051W,1940
YPR052C,3870
YPR053C,
YPR054W,
YPR055W,
YPR056W,4630
YPR057W,1870
YPR058W,
YPR059C,
YPR060C,
YPR061C,414
YPR062W,5180
YPR063C,2140
YPR064W,
YPR065W,238
YPR066W,752
YPR067W,1560
YPR068C,538
YPR069C,
YPR070W,4670
YPR071W,
YPR072W,5110
YPR073C,3500
YPR074C,40300
YPR074W-A,
YPR075C,1160
YPR076W,
YPR077C,
YPR078C,
YPR079W,
YPR080W,377
YPR081C,2290
YPR082C,
YPR083W,414
YPR084W,
YPR085C,
YPR086W,6750
YPR087W,
YPR088C,
YPR089W,
YPR090W,3690
YPR091C,861
YPR092W,
YPR093C,
YPR094W,
YPR095C,279
YPR096C,
YPR097W,3080
YPR098C,752
YPR099C,
YPR100W,3390
YPR101W,721
YPR102C,39000
YPR103W,8530
YPR104C,639
YPR105C,1620
YPR106W,521
YPR107C,3690
YPR108W,51900
YPR109W,
YPR110C,13000
YPR111W,3320
YPR112C,2220
YPR113W,3810
YPR114W,1920
YPR115W,300
YPR116W,2140
YPR117W,
YPR118W,922
YPR119W,339
YPR120C,521
YPR121W,
YPR122W,623
YPR123C,
YPR124W,1180
YPR125W,11300
YPR126C,
YPR127W,2190
YPR128C,2250
YPR129W,1280
YPR130C,
YPR131C,639
YPR132W,3340
YPR133C,2830
YPR133W-A,
YPR134W,861
YPR135W,3280
YPR136C,
YPR137W,5130
YPR138C,3820
YPR139C,6630
YPR140W,1340
YPR141C,3250
YPR142C,
YPR143W,6200
YPR144C,1630
YPR145W,
YPR146C,
YPR147C,2010
YPR148C,
YPR149W,
YPR150W,
YPR151C,
YPR152C,1310
YPR153W,
YPR154W,2190
YPR155C,2940
YPR156C,2760
YPR157W,
YPR158W,
YPR159W,4760
YPR160W,
YPR161C,2070
YPR162C,2170
YPR163C,24000
YPR164W,
YPR165W,
YPR166C,
YPR167C,217
YPR168W,1470
YPR169W,7750
YPR170C,
YPR171W,704
YPR172W,358
YPR173C,5350
YPR174C,3420
YPR175W,3110
YPR176C,1520
YPR177C,
YPR178W,1770
YPR179C,1100
YPR180W,7430
YPR181C,
YPR182W,2570
YPR183W,1890
YPR184W,125
YPR185W,149
YPR186C,1380
YPR187W,6090
YPR188C,1130
YPR189W,11900
YPR190C,2520
YPR191W,35700
YPR192W,
YPR193C,
YPR194C,
YPR195C,
YPR196W,
YPR197C,
YPR198W,
YPR199C,
YPR200C,
YPR201W,
YPR202W,
YPR203W,
YPR204W,
